parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f03_ds1_050,log,factor,39.6026,38.0,42.0,zb006,1.0,0.0,1
f03_ds2_050,log,factor,247.387,240.0,255.0,zb006,1.0,0.0,1
f03_ds1_055,log,factor,44.2184,43.0,49.0,zb006,1.0,0.0,1
f03_ds2_055,log,factor,270.682,260.0,280.0,zb006,1.0,0.0,1
f03_ds1_060,log,factor,55.9014,50.0,60.0,zb006,1.0,0.0,1
f03_ds2_060,log,factor,294.832,285.0,301.0,zb006,1.0,0.0,1
f03_ds1_065,log,factor,66.4097,61.0,70.0,zb006,1.0,0.0,1
f03_ds2_065,log,factor,319.068,305.0,325.0,zb006,1.0,0.0,1
f03_ds1_070,log,factor,81.4338,72.0,90.0,zb006,1.0,0.0,1
f03_ds2_070,log,factor,333.666,330.0,340.0,zb006,1.0,0.0,1
f03_ds1_075,log,factor,123.911,110.0,140.0,zb006,1.0,0.0,1
f03_ds2_075,log,factor,358.783,350.0,360.0,zb006,1.0,0.0,1
f03_ds1_080,log,factor,181.456,150.0,200.0,zb006,1.0,0.0,1
f03_ds2_080,log,factor,374.506,370.0,380.0,zb006,1.0,0.0,1
f03_ds1_085,log,factor,263.317,225.0,275.0,zb006,1.0,0.0,1
f03_ds2_085,log,factor,396.033,390.0,400.0,zb006,1.0,0.0,1
f03_ds1_090,log,factor,316.319,300.0,350.0,zb006,1.0,0.0,1
f03_ds2_090,log,factor,419.958,405.0,425.0,zb006,1.0,0.0,1
f04_ds2_015,log,factor,1.86704,1.0,3.0,zb006,1.0,0.0,1
f04_ds2_020,log,factor,3.76137,3.5,4.5,zb006,1.0,0.0,1
f04_ds1_025,log,factor,12.3183,8.0,14.0,zb006,1.0,0.0,1
f04_ds1_030,log,factor,21.8637,16.0,24.0,zb006,1.0,0.0,1
f04_ds1_035,log,factor,29.9206,26.0,34.0,zb006,1.0,0.0,1
f04_ds1_040,log,factor,237.0,180.0,260.0,zb006,1.0,0.0,1
f04_ds1_045,log,factor,270.342,265.0,300.0,zb006,1.0,0.0,1
f04_ds1_050,log,factor,315.008,310.0,335.0,zb006,1.0,0.0,1
f04_ds1_055,log,factor,374.848,345.0,400.0,zb006,1.0,0.0,1
f05_ds2_010,log,factor,0.173967,0.1,2.1,zb006,1.0,-0.1,1
f05_ds2_015,log,factor,11.0,3.0,11.0,zb006,1.0,0.0,1
f05_ds2_020,log,factor,20.6729,15.0,21.0,zb006,1.0,0.0,1
f05_ds1_025,log,factor,10.5455,8.0,12.0,zb006,1.0,0.0,1
f05_ds2_025,log,factor,23.2892,22.5,24.5,zb006,1.0,0.0,1
f05_ds1_030,log,factor,19.7944,16.0,24.0,zb006,1.0,0.0,1
f05_ds2_030,log,factor,27.0583,25.0,27.5,zb006,1.0,0.0,1
f05_ds1_035,log,factor,26.5589,26.0,40.0,zb006,1.0,0.0,1
f05_ds2_035,log,factor,30.1319,28.0,30.5,zb006,1.0,0.0,1
f05_ds1_040,log,factor,73.6031,60.0,100.0,zb006,1.0,0.0,1
f05_ds2_040,log,factor,32.7488,31.0,33.0,zb006,1.0,0.0,1
f05_ds1_045,log,factor,108.523,105.0,120.0,zb006,1.0,0.0,1
f05_ds2_045,log,factor,35.9869,34.0,36.5,zb006,1.0,0.0,1
f05_ds1_050,log,factor,132.207,130.0,165.0,zb006,1.0,0.0,1
f05_ds2_050,log,factor,37.8227,37.0,39.0,zb006,1.0,0.0,1
f05_ds1_055,log,factor,195.021,180.0,220.0,zb006,1.0,0.0,1
f05_ds2_055,log,factor,41.0,39.5,41.0,zb006,1.0,0.0,1
f05_ds1_060,log,factor,263.291,240.0,285.0,zb006,1.0,0.0,1
f05_ds2_060,log,factor,42.5949,42.0,43.0,zb006,1.0,0.0,1
f06_ds1_025,log,factor,9.24978,5.0,13.0,zb004,1.0,0.0,1
f06_ds1_030,log,factor,20.4431,16.0,24.0,zb004,1.0,0.0,1
f06_ds1_035,log,factor,31.7884,25.0,55.0,zb004,1.0,0.0,1
f06_ds1_040,log,factor,160.882,130.0,179.0,zb004,1.0,0.0,1
f06_ds1_045,log,factor,191.319,180.0,210.0,zb004,1.0,0.0,1
f06_ds1_050,log,factor,242.323,220.0,260.0,zb004,1.0,0.0,1
f06_ds1_055,log,factor,291.143,280.0,320.0,zb004,1.0,0.0,1
f07_ds2_015,log,factor,1.43069,0.1,2.1,zb004,1.0,-0.1,1
f07_ds2_020,log,factor,6.30896,4.0,8.0,zb004,1.0,0.0,1
f07_ds1_025,log,factor,8.53381,5.0,11.0,zb004,1.0,0.0,1
f07_ds2_025,log,factor,8.42959,8.0,9.0,zb004,1.0,0.0,1
f07_ds1_030,log,factor,19.7581,16.0,24.0,zb004,1.0,0.0,1
f07_ds2_030,log,factor,10.0414,9.5,10.5,zb004,1.0,0.0,1
f07_ds1_035,log,factor,29.8037,25.0,35.0,zb004,1.0,0.0,1
f07_ds2_035,log,factor,11.5146,10.6,12.0,zb004,1.0,0.0,1
f07_ds1_040,log,factor,58.5466,45.0,65.0,zb004,1.0,0.0,1
f07_ds1_045,log,factor,77.9364,68.0,85.0,zb004,1.0,0.0,1
f07_ds1_050,log,factor,104.116,90.0,110.0,zb004,1.0,0.0,1
f07_ds1_055,log,factor,133.262,120.0,150.0,zb004,1.0,0.0,1
f07_ds1_060,log,factor,170.479,160.0,200.0,zb004,1.0,0.0,1
f07_ds1_065,log,factor,227.671,210.0,250.0,zb004,1.0,0.0,1
f07_ds1_070,log,factor,297.365,270.0,315.0,zb004,1.0,0.0,1
f07_ds1_075,log,factor,362.928,340.0,380.0,zb004,1.0,0.0,1
f08_ds2_010,log,factor,0.105597,0.1,1.1,zb002,1.0,-0.1,1
f08_ds1_025,log,factor,16.6641,8.0,18.0,zb002,1.0,0.0,1
f08_ds1_030,log,factor,19.8873,19.0,24.0,zb002,1.0,0.0,1
f08_ds1_035,log,factor,31.2365,25.0,50.0,zb002,1.0,0.0,1
f08_ds1_040,log,factor,311.352,180.0,320.0,zb002,1.0,0.0,1
f08_ds1_045,log,factor,347.416,330.0,390.0,zb002,1.0,0.0,1
f08_ds1_050,log,factor,416.945,400.0,450.0,zb002,1.0,0.0,1
f08_ds1_055,log,factor,501.516,460.0,540.0,zb002,1.0,0.0,1
f08_ds1_060,log,factor,606.419,550.0,640.0,zb002,1.0,0.0,1
f09_ds1_025,log,factor,9.31059,6.0,14.0,zb002,1.0,0.0,1
f09_ds1_030,log,factor,17.962,15.0,24.0,zb002,1.0,0.0,1
f09_ds1_035,log,factor,34.6386,25.0,150.0,zb002,1.0,0.0,1
f09_ds1_040,log,factor,708.398,400.0,850.0,zb002,1.0,0.0,1
f09_ds1_045,log,factor,905.517,860.0,940.0,zb002,1.0,0.0,1
f09_ds1_050,log,factor,977.603,950.0,1000.0,zb002,1.0,0.0,1
f09_ds1_055,log,factor,1030.37,1010.0,1080.0,zb002,1.0,0.0,1
f10_ds1_025,log,factor,0.897033,0.1,1.1,zb001,1.0,-0.1,1
f10_ds1_030,log,factor,1.73337,1.2,2.0,zb001,1.0,0.0,1
f10_ds1_035,log,factor,2.64507,2.2,4.0,zb001,1.0,0.0,1
f10_ds1_040,log,factor,7.71689,6.0,9.0,zb001,1.0,0.0,1
f10_ds1_045,log,factor,10.3397,9.5,10.5,zb001,1.0,0.0,1
f10_ds1_050,log,factor,11.4712,11.0,12.2,zb001,1.0,0.0,1
f10_ds1_055,log,factor,13.3527,13.0,13.8,zb001,1.0,0.0,1
f10_ds1_060,log,factor,15.1143,14.2,15.5,zb001,1.0,0.0,1
f10_ds1_065,log,factor,16.6104,16.0,17.0,zb001,1.0,0.0,1
f10_ds1_070,log,factor,17.8544,17.8,18.8,zb001,1.0,0.0,1
f10_ds1_075,log,factor,19.5515,19.0,20.2,zb001,1.0,0.0,1
f10_ds1_080,log,factor,21.2105,20.8,21.8,zb001,1.0,0.0,1
f10_ds1_085,log,factor,22.8963,22.0,23.2,zb001,1.0,0.0,1
f20_ds2_010,log,factor,0.288613,0.1,0.5,zb006,1.0,-0.1,1
f20_ds2_015,log,factor,0.664267,0.5,0.8,zb006,1.0,0.0,1
f20_ds1_020,log,factor,0.502642,0.1,3.1,zb006,1.0,-0.1,1
f20_ds2_020,log,factor,1.01194,0.9,1.2,zb006,1.0,0.0,1
f20_ds1_025,log,factor,9.60759,4.0,10.0,zb006,1.0,0.0,1
f20_ds2_025,log,factor,3.01013,2.0,5.0,zb006,1.0,0.0,1
f20_ds1_030,log,factor,17.7664,16.0,24.0,zb006,1.0,0.0,1
f20_ds2_030,log,factor,8.7369,6.0,12.0,zb006,1.0,0.0,1
f20_ds1_035,log,factor,31.405,26.0,34.0,zb006,1.0,0.0,1
f20_ds2_035,log,factor,18.8473,14.0,22.0,zb006,1.0,0.0,1
f20_ds1_040,log,factor,38.8539,36.0,44.0,zb006,1.0,0.0,1
f20_ds2_040,log,factor,24.9502,23.0,26.0,zb006,1.0,0.0,1
f20_ds1_045,log,factor,50.7633,46.0,54.0,zb006,1.0,0.0,1
f20_ds2_045,log,factor,29.1266,27.0,31.0,zb006,1.0,0.0,1
f20_ds1_050,log,factor,56.0,56.0,80.0,zb006,1.0,0.0,1
f20_ds1_055,log,factor,103.58,90.0,112.0,zb006,1.0,0.0,1
f20_ds1_060,log,factor,137.552,120.0,180.0,zb006,1.0,0.0,1
f20_ds1_065,log,factor,204.208,200.0,220.0,zb006,1.0,0.0,1
f20_ds1_070,log,factor,283.851,240.0,310.0,zb006,1.0,0.0,1
f20_ds1_075,log,factor,346.939,320.0,385.0,zb006,1.0,0.0,1
f20_ds1_080,log,factor,445.299,420.0,460.0,zb006,1.0,0.0,1
f20_ds1_085,log,factor,543.658,500.0,560.0,zb006,1.0,0.0,1
f21_ds2_015,log,factor,15.5839,7.0,18.0,zb006,1.0,0.0,1
f21_ds2_020,log,factor,20.1377,19.0,25.0,zb006,1.0,0.0,1
f21_ds1_025,log,factor,5.1061,2.0,8.0,zb006,1.0,0.0,1
f21_ds2_025,log,factor,32.6585,28.0,38.0,zb006,1.0,0.0,1
f21_ds1_030,log,factor,21.9644,15.0,24.0,zb006,1.0,0.0,1
f21_ds2_030,log,factor,42.6174,40.0,50.0,zb006,1.0,0.0,1
f21_ds1_035,log,factor,29.9493,26.0,30.5,zb006,1.0,0.0,1
f21_ds2_035,log,factor,60.6599,51.0,61.0,zb006,1.0,0.0,1
f21_ds1_040,log,factor,31.1942,30.6,31.3,zb006,1.0,0.0,1
f21_ds2_040,log,factor,66.4322,65.0,70.0,zb006,1.0,0.0,1
f21_ds1_045,log,factor,31.8138,31.8,32.3,zb006,1.0,0.0,1
f21_ds2_045,log,factor,78.8675,75.0,80.0,zb006,1.0,0.0,1
f21_ds1_050,log,factor,32.9142,32.8,33.3,zb006,1.0,0.0,1
f21_ds2_050,log,factor,88.1403,85.0,90.0,zb006,1.0,0.0,1
f21_ds1_055,log,factor,34.4741,33.8,36.0,zb006,1.0,0.0,1
f21_ds2_055,log,factor,98.9135,95.0,100.0,zb006,1.0,0.0,1
f21_ds1_060,log,factor,39.5298,38.0,42.0,zb006,1.0,0.0,1
f21_ds2_060,log,factor,106.458,105.0,110.0,zb006,1.0,0.0,1
f21_ds1_065,log,factor,44.5262,43.0,49.0,zb006,1.0,0.0,1
f21_ds2_065,log,factor,115.27,112.0,118.0,zb006,1.0,0.0,1
f21_ds1_070,log,factor,54.7205,52.0,56.0,zb006,1.0,0.0,1
f21_ds2_070,log,factor,122.568,120.0,125.0,zb006,1.0,0.0,1
f21_ds1_075,log,factor,60.0898,58.0,64.0,zb006,1.0,0.0,1
f21_ds2_075,log,factor,132.803,130.0,134.0,zb006,1.0,0.0,1
f21_ds1_080,log,factor,69.7489,66.0,74.0,zb006,1.0,0.0,1
f21_ds2_080,log,factor,138.878,135.0,141.0,zb006,1.0,0.0,1
f21_ds1_085,log,factor,78.4577,76.0,84.0,zb006,1.0,0.0,1
f21_ds2_085,log,factor,145.725,142.0,148.0,zb006,1.0,0.0,1
f21_ds1_090,log,factor,92.5894,86.0,94.0,zb006,1.0,0.0,1
f21_ds2_090,log,factor,152.652,150.0,155.0,zb006,1.0,0.0,1
f21_ds1_095,log,factor,100.324,96.0,104.0,zb006,1.0,0.0,1
f21_ds2_095,log,factor,158.504,156.0,161.0,zb006,1.0,0.0,1
f21_ds1_100,log,factor,109.609,106.0,114.0,zb006,1.0,0.0,1
f21_ds2_100,log,factor,166.816,163.0,169.0,zb006,1.0,0.0,1
f21_ds1_105,log,factor,121.019,116.0,124.0,zb006,1.0,0.0,1
f21_ds2_105,log,factor,170.991,170.0,173.0,zb006,1.0,0.0,1
f21_ds1_110,log,factor,140.055,130.0,150.0,zb006,1.0,0.0,1
f21_ds2_110,log,factor,177.323,174.0,178.0,zb006,1.0,0.0,1
f21_ds1_115,log,factor,176.398,160.0,200.0,zb006,1.0,0.0,1
f21_ds2_115,log,factor,181.992,180.0,183.0,zb006,1.0,0.0,1
f21_ds2_120,log,factor,186.274,185.0,189.0,zb006,1.0,0.0,1
f21_ds2_125,log,factor,191.644,190.0,193.0,zb006,1.0,0.0,1
f30_ds1_195,log,factor,5.53655,2.0,7.0,zb002,1.0,0.0,1
f30_ds1_200,log,factor,20.2326,15.0,30.0,zb002,1.0,0.0,1
f30_ds1_205,log,factor,55.6361,40.0,60.0,zb002,1.0,0.0,1
f30_ds1_210,log,factor,90.3648,70.0,100.0,zb002,1.0,0.0,1
f30_ds1_215,log,factor,126.936,120.0,150.0,zb002,1.0,0.0,1
f30_ds1_220,log,factor,196.916,170.0,240.0,zb002,1.0,0.0,1
f30_ds1_225,log,factor,343.105,270.0,380.0,zb002,1.0,0.0,1
f30_ds1_230,log,factor,539.056,400.0,600.0,zb002,1.0,0.0,1
f30_ds1_235,log,factor,777.254,750.0,850.0,zb002,1.0,0.0,1
f31_ds2_015,log,factor,13.3652,5.0,18.0,zb001,1.0,0.0,1
f31_ds1_020,log,factor,0.749907,0.5,3.0,zb001,1.0,0.0,1
f31_ds2_020,log,factor,19.7123,19.0,22.0,zb001,1.0,0.0,1
f31_ds1_025,log,factor,9.67173,8.0,13.0,zb001,1.0,0.0,1
f31_ds2_025,log,factor,22.9814,22.5,23.5,zb001,1.0,0.0,1
f31_ds1_030,log,factor,19.7131,16.0,24.0,zb001,1.0,0.0,1
f31_ds1_035,log,factor,27.772,26.0,140.0,zb001,1.0,0.0,1
f31_ds1_040,log,factor,227.379,200.0,240.0,zb001,1.0,0.0,1
f31_ds1_045,log,factor,277.656,250.0,300.0,zb001,1.0,0.0,1
f31_ds1_050,log,factor,332.897,320.0,370.0,zb001,1.0,0.0,1
f31_ds1_055,log,factor,419.984,400.0,430.0,zb001,1.0,0.0,1
f31_ds1_060,log,factor,510.176,460.0,520.0,zb001,1.0,0.0,1
f31_ds1_065,log,factor,608.566,550.0,650.0,zb001,1.0,0.0,1
f31_ds1_070,log,factor,695.455,680.0,750.0,zb001,1.0,0.0,1
f40_ds2_015,log,factor,9.49831,5.0,10.0,zb005,1.0,0.0,1
f40_ds2_020,log,factor,35.3877,28.0,40.0,zb005,1.0,0.0,1
f40_ds1_025,log,factor,2.79321,1.0,6.0,zb005,1.0,0.0,1
f40_ds2_025,log,factor,48.7383,45.0,55.0,zb005,1.0,0.0,1
f40_ds1_030,log,factor,20.2817,16.0,24.0,zb005,1.0,0.0,1
f40_ds2_030,log,factor,61.9818,58.0,68.0,zb005,1.0,0.0,1
f40_ds1_035,log,factor,26.0,26.0,40.0,zb005,1.0,0.0,1
f40_ds1_040,log,factor,71.2633,65.0,78.0,zb005,1.0,0.0,1
f40_ds1_045,log,factor,92.3399,85.0,100.0,zb005,1.0,0.0,1
f40_ds1_050,log,factor,123.78,110.0,130.0,zb005,1.0,0.0,1
f40_ds1_055,log,factor,152.485,145.0,175.0,zb005,1.0,0.0,1
f40_ds1_060,log,factor,196.835,190.0,220.0,zb005,1.0,0.0,1
f40_ds1_065,log,factor,262.61,235.0,285.0,zb005,1.0,0.0,1
f40_ds1_070,log,factor,319.549,310.0,360.0,zb005,1.0,0.0,1
f40_ds1_075,log,factor,412.398,390.0,450.0,zb005,1.0,0.0,1
f41_ds2_015,log,factor,2.9906,1.0,3.0,zb005,1.0,0.0,1
f41_ds2_020,log,factor,16.2693,10.0,20.0,zb005,1.0,0.0,1
f41_ds1_025,log,factor,5.48613,3.0,10.0,zb005,1.0,0.0,1
f41_ds2_025,log,factor,26.9258,24.0,30.0,zb005,1.0,0.0,1
f41_ds1_030,log,factor,18.9717,16.0,24.0,zb005,1.0,0.0,1
f41_ds2_030,log,factor,37.3551,34.0,40.0,zb005,1.0,0.0,1
f41_ds1_035,log,factor,33.3616,26.0,60.0,zb005,1.0,0.0,1
f41_ds2_035,log,factor,43.5307,42.0,48.0,zb005,1.0,0.0,1
f41_ds1_040,log,factor,159.532,120.0,170.0,zb005,1.0,0.0,1
f41_ds2_040,log,factor,51.4131,50.0,53.0,zb005,1.0,0.0,1
f41_ds1_045,log,factor,198.265,185.0,210.0,zb005,1.0,0.0,1
f41_ds2_045,log,factor,57.0205,55.0,59.0,zb005,1.0,0.0,1
f41_ds1_050,log,factor,243.135,230.0,252.0,zb005,1.0,0.0,1
f41_ds1_055,log,factor,295.354,280.0,320.0,zb005,1.0,0.0,1
f41_ds1_060,log,factor,349.973,345.0,385.0,zb005,1.0,0.0,1
f41_ds1_065,log,factor,449.351,420.0,470.0,zb005,1.0,0.0,1
f42_ds2_015,log,factor,3.66698,1.0,5.0,zb005,1.0,0.0,1
f42_ds1_020,log,factor,0.110886,0.1,2.1,zb005,1.0,-0.1,1
f42_ds2_020,log,factor,14.4205,12.0,16.0,zb005,1.0,0.0,1
f42_ds1_025,log,factor,5.98551,5.0,9.0,zb005,1.0,0.0,1
f42_ds2_025,log,factor,18.6505,17.0,19.5,zb005,1.0,0.0,1
f42_ds1_030,log,factor,20.8023,16.0,24.0,zb005,1.0,0.0,1
f42_ds2_030,log,factor,22.9728,21.0,23.0,zb005,1.0,0.0,1
f42_ds1_035,log,factor,30.9595,26.0,34.0,zb005,1.0,0.0,1
f42_ds2_035,log,factor,25.7286,25.0,26.5,zb005,1.0,0.0,1
f42_ds1_040,log,factor,38.5081,36.0,44.0,zb005,1.0,0.0,1
f42_ds2_040,log,factor,28.9085,27.0,29.0,zb005,1.0,0.0,1
f42_ds1_045,log,factor,63.041,52.0,68.0,zb005,1.0,0.0,1
f42_ds1_050,log,factor,80.4312,72.0,88.0,zb005,1.0,0.0,1
f42_ds1_055,log,factor,103.728,95.0,115.0,zb005,1.0,0.0,1
f42_ds1_060,log,factor,152.269,145.0,180.0,zb005,1.0,0.0,1
f42_ds1_065,log,factor,207.426,200.0,225.0,zb005,1.0,0.0,1
f42_ds1_070,log,factor,268.893,260.0,300.0,zb005,1.0,0.0,1
f42_ds1_075,log,factor,349.296,330.0,390.0,zb005,1.0,0.0,1
f42_ds1_080,log,factor,461.907,420.0,480.0,zb005,1.0,0.0,1
f43_ds2_015,log,factor,0.437143,0.1,3.1,zb003,1.0,-0.1,1
f43_ds2_020,log,factor,6.77401,5.0,9.0,zb003,1.0,0.0,1
f43_ds1_025,log,factor,7.32903,3.0,10.0,zb003,1.0,0.0,1
f43_ds2_025,log,factor,25.1153,18.0,30.0,zb003,1.0,0.0,1
f43_ds1_030,log,factor,17.5996,16.0,24.0,zb003,1.0,0.0,1
f43_ds2_030,log,factor,36.7789,34.0,41.0,zb003,1.0,0.0,1
f43_ds1_035,log,factor,32.2631,26.0,60.0,zb003,1.0,0.0,1
f43_ds2_035,log,factor,48.8107,46.0,54.0,zb003,1.0,0.0,1
f43_ds1_040,log,factor,130.864,90.0,140.0,zb003,1.0,0.0,1
f43_ds2_040,log,factor,59.6126,56.0,64.0,zb003,1.0,0.0,1
f43_ds1_045,log,factor,158.739,150.0,190.0,zb003,1.0,0.0,1
f43_ds1_050,log,factor,227.876,210.0,240.0,zb003,1.0,0.0,1
f43_ds1_055,log,factor,282.534,260.0,305.0,zb003,1.0,0.0,1
f43_ds1_060,log,factor,363.57,350.0,380.0,zb003,1.0,0.0,1
f44_ds2_020,log,factor,0.388746,0.1,4.1,zb001,1.0,-0.1,1
f44_ds1_025,log,factor,5.96155,4.0,10.0,zb001,1.0,0.0,1
f44_ds1_030,log,factor,17.4955,16.0,24.0,zb001,1.0,0.0,1
f44_ds1_035,log,factor,28.383,26.0,34.0,zb001,1.0,0.0,1
f44_ds1_040,log,factor,48.4262,40.0,55.0,zb001,1.0,0.0,1
f44_ds1_045,log,factor,69.9625,65.0,91.0,zb001,1.0,0.0,1
f44_ds1_050,log,factor,121.54,110.0,140.0,zb001,1.0,0.0,1
f44_ds1_055,log,factor,184.016,155.0,195.0,zb001,1.0,0.0,1
f44_ds1_060,log,factor,244.068,210.0,260.0,zb001,1.0,0.0,1
f44_ds1_065,log,factor,310.929,300.0,340.0,zb001,1.0,0.0,1
f44_ds1_070,log,factor,403.738,365.0,425.0,zb001,1.0,0.0,1
f50_ds2_015,log,factor,3.46025,1.5,6.0,zb003,1.0,0.0,1
f50_ds2_020,log,factor,8.31976,7.0,11.0,zb003,1.0,0.0,1
f50_ds1_025,log,factor,4.66096,2.0,8.0,zb003,1.0,0.0,1
f50_ds2_025,log,factor,18.3889,14.0,20.0,zb003,1.0,0.0,1
f50_ds1_030,log,factor,19.3107,16.0,24.0,zb003,1.0,0.0,1
f50_ds2_030,log,factor,25.2004,21.0,27.0,zb003,1.0,0.0,1
f50_ds1_035,log,factor,28.5353,26.0,60.0,zb003,1.0,0.0,1
f50_ds2_035,log,factor,29.7619,29.0,32.0,zb003,1.0,0.0,1
f50_ds1_040,log,factor,126.955,100.0,140.0,zb003,1.0,0.0,1
f50_ds1_045,log,factor,163.872,150.0,170.0,zb003,1.0,0.0,1
f50_ds1_050,log,factor,195.533,185.0,210.0,zb003,1.0,0.0,1
f50_ds1_055,log,factor,249.583,230.0,265.0,zb003,1.0,0.0,1
f50_ds1_060,log,factor,307.915,290.0,330.0,zb003,1.0,0.0,1
f50_ds1_065,log,factor,363.6,350.0,400.0,zb003,1.0,0.0,1
f51_ds2_010,log,factor,0.178782,0.1,2.1,zb003,1.0,-0.1,1
f51_ds2_015,log,factor,5.314,3.0,10.0,zb003,1.0,0.0,1
f51_ds1_020,log,factor,0.464332,0.1,3.1,zb003,1.0,-0.1,1
f51_ds2_020,log,factor,20.6038,20.0,30.0,zb003,1.0,0.0,1
f51_ds1_025,log,factor,6.11194,4.0,12.0,zb003,1.0,0.0,1
f51_ds2_025,log,factor,43.5677,35.0,55.0,zb003,1.0,0.0,1
f51_ds1_030,log,factor,19.0784,16.0,24.0,zb003,1.0,0.0,1
f51_ds2_030,log,factor,66.1232,60.0,70.0,zb003,1.0,0.0,1
f51_ds1_035,log,factor,28.0018,26.0,80.0,zb003,1.0,0.0,1
f51_ds2_035,log,factor,81.1924,75.0,85.0,zb003,1.0,0.0,1
